Date / Time,City,State,Shape
1/29/97 23:15,East Greenwich,RI,Disk
1/26/97 22:00,Flagstaff,AZ,Light
1/25/97 21:00,Marion,WI,Triangle
1/24/97 19:00,Alta,UT,Other
1/23/97 18:30,North Kingstown,RI,Triangle
1/22/97 03:35,Altus AFB,OK,Changing
1/21/97 19:15,Blackwell,OK,Triangle
1/18/97 22:00,Babson Park,FL,Diamond
1/18/97 22:00,Las Vegas (SE of),NV,Sphere
1/16/97 18:00,Moab,UT,Other
1/16/97 06:30,Seguin,TX,Fireball
1/15/97 23:00,"Ellensburg (? on a pass just pass, just east of)",WA,Fireball
1/15/97 20:00,Unknown,WI,Formation
1/15/97 18:30,Alturas,CA,Disk
1/15/97 18:00,Millsboro,DE,Triangle
1/15/97 15:00,Pico Rivera/Paramount,CA,Oval
1/15/97 11:30,Circleville,OH,Disk
1/15/97 07:00,Macon,GA,Disk
1/15/97 04:30,Calabash,NC,Oval
1/15/97 01:15,Mankato/Lake Crystal,MN,Sphere
1/15/97 00:30,Columbia,SC,Light
1/14/97 16:00,McKinlyville/Eureka (near Arcata Driving),CA,Disk
1/13/97 17:30,Lombard,IL,Fireball
1/12/97 23:00,Billings,MT,Light
1/11/97 22:00,Carrollton,TX,Circle
1/10/97 22:00,Columbus,OH,Triangle
1/8/97 19:00,Eden,NY,Light
1/8/97 17:22,South Attleboro,MA,Disk
1/8/97 17:20,Brooklyn,CT,Disk
1/7/97 00:35,Amelia,OH,Light
1/5/97 01:10,Haleiwa,HI,Triangle
1/4/97 21:32,Santa Rosa,CA,Disk
1/4/97 21:00,Steinhatchee,FL,Cigar
1/3/97 03:00,Long Beach (in); and again in Seattle,WA,Light
1/2/97 19:15,Austin,TX,Light
1/1/97 07:00,Jamestown,ND,Changing
1/1/97 20:30,Clatonia,NE,
1/1/97 23:00,Tom Sauk Moutain,MO,Light
1/1/97 21:00,Cayce,SC,Unknown
1/1/97 19:30,Phoenix,AZ,Chevron
1/1/97 15:30,Johnston,RI,Rectangle
1/1/97 13:00,Arrayo Grande,CA,Oval
1/1/97 12:00,Rye,NY,Disk
1/1/97 07:00,Chanute,KS,Circle
2/28/97 23:00,Mesa,AZ,Triangle
2/28/97 16:00,St. David,AZ,Oval
2/27/97 20:00,North Beach,MD,Other
2/26/97 20:00,Mobile,AL,Oval
2/25/97 20:00,New Florence,PA,Light
2/25/97 14:20,"Boiling Springs (outside of, traveling on highway)",PA,
2/25/97 02:00,Crystal Lake,IL,Sphere
2/22/97 14:21,Weston,MO,Other
2/19/97 20:15,Guadelupe,AZ,
2/17/97 22:15,Waseca,MN,Other
2/17/97 00:47,Pittsburgh,PA,Other
2/16/97 03:00,Randolph,NY,Circle
2/15/97 23:35,Blairsville,PA,Light
2/15/97 22:30,Hudson,WI,Unknown
2/15/97 21:30,Harrisonburg,VA,Fireball
2/15/97 20:00,Prescott Valley (4-5 miles east of),AZ,Other
2/15/97 13:00,North Adams,MA,Diamond
2/14/97 20:00,Ormond Beach,FL,Chevron
2/14/97 18:00,Las Vegas,NV,Formation
2/11/97 11:00,Phoenix,AZ,Cigar
2/10/97 18:00,Brentwood,TN,Light
2/10/97 00:10,Los Angeles,CA,Triangle
2/9/97 13:45,Seattle,WA,Oval
2/8/97 18:00,Stacy,MN,Unknown
2/6/97 16:45,Mesa,AZ,Triangle
2/6/97 16:45,Mesa,AZ,Triangle
2/6/97 03:15,Grove City,PA,
2/5/97 22:00,Albuquerque,NM,Flash
2/3/97 20:00,Virden,IL,Disk
2/2/97 08:25,Thackery,OH,Unknown
2/1/97 23:00,Elizabeth,NJ,Sphere
2/1/97 20:00,Cromwell,KY,Triangle
2/1/97 13:00,Unincorporated,AZ,Rectangle
2/1/97 09:30,Yucca Valley/Morongo Valley,CA,Other
2/1/97 06:35,Alto,MI,Triangle
3/31/97 21:00,Juneau,AK,Light
3/30/97 20:30,Shallotte,NC,Formation
3/30/97 00:45,Cobleskill,NY,Light
3/29/97 20:00,Phoenix City,AL,
3/28/97 16:00,Carmichaels,PA,Disk
3/27/97 22:30,Toledo,OH,Circle
3/27/97 22:00,Yuma,AZ,Sphere
3/27/97 21:00,Palm Springs,CA,Light
3/27/97 20:40,Springfield,MO,Disk
3/27/97 20:10,Carlisle,PA,Formation
3/27/97 20:10,Carlisle,PA,Formation
3/27/97 16:00,Sun Prairie,WI,
3/27/97 01:03,Williston,FL,Sphere
3/27/97 01:00,Ann Arbor,MI,Light
3/26/97 22:30,Winslow,AZ,Triangle
3/26/97 22:30,Huron,OH,Circle
3/26/97 22:10,Owings Mills,MD,Light
3/25/97 20:32,Stockton,CA,Diamond
3/24/97 23:40,Manassas,VA,Formation
3/24/97 01:30,Bigelow,AR,Circle
3/23/97 21:45,Nederland,CO,Other
3/23/97 20:30,Nederland,CO,Other
3/23/97 16:30,"Albuquerque (over, from Tent Rocks)",NM,Other
3/22/97 21:30,Unadilla,NY,Light
3/22/97 21:00,Lake Geneva,WI,Light
3/22/97 20:32,Bakersfield,CA,Light
3/22/97 20:00,McDonough,GA,Light
3/22/97 16:00,Scottsdale,AZ,Circle
3/21/97 21:00,Yucaipa,CA,Fireball
3/20/97 20:25,Whitefish,MT,Light
3/20/97 13:00,Santa Fe,NM,Triangle
3/20/97 00:00,Phoenix,AZ,Other
3/19/97 20:45,Cleveland,TX,Cigar
3/17/97 21:00,San Diego,CA,Circle
3/17/97 21:00,Tucson,AZ,Triangle
3/17/97 20:35,Mesa,AZ,Chevron
3/17/97 20:15,Phoenix,AZ,Light
3/17/97 20:00,Wickenburg,AZ,Light
3/17/97 10:00,"Aquaduct (near, over desert, before entering California)",CA,Triangle
3/17/97 09:00,Lincoln City,OR,Triangle
3/16/97 17:39,Osterville,MA,Sphere
3/16/97 11:30,"Yuma (desert, on Olgiby Rd., 16 mi. ne. of Yuma)",AZ,Triangle
3/15/97 21:30,Iron River (17 miles west of),MI,Light
3/15/97 21:00,Fort Hood (Belton Lake Outdoor Recreation Facility),TX,Sphere
3/15/97 21:00,San Diego,CA,Disk
3/15/97 19:00,Bossier Parish (southern),LA,Rectangle
3/15/97 18:00,Miami,FL,Light
3/15/97 10:30,Buena Vista,CO,Oval
3/15/97 02:00,Woodinville,WA,Triangle
3/15/97 01:30,Pell City,AL,Unknown
3/15/97 01:00,San Tan Valley,AZ,Light
3/14/97 23:59,New York City,NY,Oval
3/14/97 22:30,Colorado Springs,CO,Triangle
3/14/97 21:00,Los Angeles,CA,Triangle
3/14/97 20:00,Tonopah,AZ,Sphere
3/14/97 19:00,Sahuarita,AZ,Triangle
3/14/97 01:35,Dunnellon,FL,Light
3/14/97 01:10,Tucson (southwest of town),AZ,Disk
3/13/97 00:00,Scottsdale,AZ,Triangle
3/13/97 23:00,Fresno,CA,Formation
3/13/97 22:05,Phoenix,AZ,
3/13/97 22:00,Glendale,AZ,Fireball
3/13/97 22:00,Dateland,AZ,Circle
3/13/97 22:00,Phoenix,AZ,Other
3/13/97 22:00,Casa Grande,AZ,Formation
3/13/97 22:00,Tucson,AZ,Light
3/13/97 21:30,Sciotoville,OH,Formation
